               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.025512,            0.017681,             0.03318,             0.29159,             0.42254,             0.41607,             0.25458,            0.010823,           0.0047886,            0.017199,            0.006436,            0.006436,            0.006436
                  38,            0.019909,             0.01594,            0.031374,             0.16396,             0.55926,             0.35494,             0.22736,           0.0093701,           0.0048286,            0.017139,            0.006337,            0.006337,            0.006337
                  39,            0.022328,            0.015285,            0.030237,             0.18343,             0.52593,             0.34399,             0.15052,            0.013703,           0.0048093,            0.016653,            0.006238,            0.006238,            0.006238
                  40,            0.023417,            0.016682,            0.034166,             0.31368,              0.5537,             0.42818,             0.23012,            0.011124,           0.0044514,            0.016892,            0.006139,            0.006139,            0.006139
                  41,             0.02002,            0.014817,            0.030063,             0.18675,             0.53165,             0.34502,             0.23368,           0.0088677,            0.004363,            0.017204,             0.00604,             0.00604,             0.00604
                  42,            0.020755,            0.015942,            0.033588,             0.15925,             0.44259,             0.31409,             0.19667,            0.010022,           0.0043138,            0.016643,            0.005941,            0.005941,            0.005941
                  43,            0.021086,            0.016445,            0.032924,             0.42005,             0.53592,             0.33521,             0.21294,            0.009291,           0.0044722,            0.016456,            0.005842,            0.005842,            0.005842
                  44,            0.021428,            0.016582,             0.03323,             0.42177,             0.53666,             0.35367,             0.24684,            0.011058,           0.0045374,            0.016364,            0.005743,            0.005743,            0.005743
                  45,            0.022956,            0.015617,            0.031887,              0.3058,             0.61359,             0.32358,             0.18559,            0.010513,           0.0044205,            0.016501,            0.005644,            0.005644,            0.005644
                  46,            0.022123,            0.015447,              0.0314,             0.19766,             0.65294,             0.35388,             0.23302,           0.0099078,           0.0044898,            0.016853,            0.005545,            0.005545,            0.005545
                  47,            0.019916,            0.014305,            0.031998,             0.12117,             0.61597,              0.3817,              0.2667,            0.012909,           0.0050048,             0.01817,            0.005446,            0.005446,            0.005446
                  48,            0.017065,            0.016246,            0.029095,             0.16138,             0.64069,             0.37515,             0.27725,           0.0084017,           0.0047721,            0.017783,            0.005347,            0.005347,            0.005347
                  49,            0.020586,            0.014699,            0.029714,             0.18034,              0.6567,             0.36587,             0.25791,           0.0082494,           0.0045213,            0.016965,            0.005248,            0.005248,            0.005248
                  50,            0.019115,            0.014351,             0.02998,             0.29289,             0.61507,             0.38608,             0.27656,           0.0078731,           0.0043054,            0.016332,            0.005149,            0.005149,            0.005149
                  51,            0.018452,            0.014686,            0.030259,             0.43626,             0.50611,             0.44857,             0.25181,           0.0095171,           0.0039795,            0.016067,             0.00505,             0.00505,             0.00505
                  52,            0.021664,            0.015619,            0.030573,             0.43875,             0.48656,              0.4507,             0.27297,           0.0084893,           0.0037858,            0.016144,            0.004951,            0.004951,            0.004951
                  53,            0.017666,            0.014445,            0.031186,             0.43025,             0.46867,             0.44129,             0.26171,           0.0088324,           0.0036933,            0.016064,            0.004852,            0.004852,            0.004852
                  54,            0.019364,            0.015968,            0.032868,              0.4623,             0.46871,             0.45296,              0.2928,           0.0078525,           0.0036978,            0.015953,            0.004753,            0.004753,            0.004753
                  55,            0.019216,            0.014257,            0.030944,             0.45346,             0.47454,             0.45462,              0.3059,           0.0083748,           0.0037467,            0.015902,            0.004654,            0.004654,            0.004654
                  56,             0.01669,            0.015364,            0.030522,             0.45341,             0.51122,             0.46092,             0.26463,           0.0091712,           0.0038633,             0.01592,            0.004555,            0.004555,            0.004555
                  57,            0.018421,            0.013211,             0.02692,             0.45641,               0.502,             0.48335,             0.29896,           0.0082065,           0.0038951,            0.015842,            0.004456,            0.004456,            0.004456
                  58,            0.019507,            0.015227,            0.028714,             0.44628,             0.47963,             0.48095,             0.31063,           0.0089204,           0.0037192,            0.015747,            0.004357,            0.004357,            0.004357
                  59,            0.016208,            0.014116,            0.029227,             0.46481,             0.49881,             0.41237,             0.23819,            0.010289,           0.0036985,            0.015696,            0.004258,            0.004258,            0.004258
                  60,            0.016249,            0.013945,            0.028465,             0.47369,             0.49735,             0.52744,             0.31982,            0.008471,           0.0036361,            0.015571,            0.004159,            0.004159,            0.004159
                  61,            0.017549,             0.01322,            0.029348,             0.49795,             0.44051,             0.51192,             0.31881,           0.0091939,            0.003752,            0.015506,             0.00406,             0.00406,             0.00406
                  62,             0.01679,            0.013149,            0.028249,              0.4467,             0.58426,             0.52374,             0.26458,           0.0091765,           0.0036097,            0.015401,            0.003961,            0.003961,            0.003961
                  63,            0.020936,             0.01413,            0.028616,             0.43652,             0.53143,             0.52379,             0.35097,           0.0084089,           0.0035391,            0.015283,            0.003862,            0.003862,            0.003862
                  64,            0.015607,            0.014246,            0.028152,             0.45321,             0.55162,             0.52216,             0.26403,           0.0098761,           0.0034311,            0.015368,            0.003763,            0.003763,            0.003763
                  65,            0.016376,            0.014328,            0.030287,             0.36003,             0.60312,             0.42331,             0.32912,           0.0074317,           0.0034692,            0.015286,            0.003664,            0.003664,            0.003664
